texto,categoria
Necesito que me presten la sala de juntas del segundo piso para la tarde.,otros
"Que mas, tengo un chicharron: Parece que una auditoria me quito los derechos administrativos de mi propio equipo.",permisos
"Cordial saludo, solicito revisión de lo siguiente: La barra inferior de Windows no responde al clic, parece colapsada.",software
Urgente: El sistema me avisa de un login sospechoso desde un país extraño. Necesito trabajar.,seguridad
"auxilio, oigan, el próximo viernes que es feriado se trabaja mediodía o qué.",otros
"Cordial saludo, solicito revisión de lo siguiente: Retomando labores y no recuerdo mi clave de acceso para nada.",cuentas_contrasenas
Urgente: Al insertar un pendrive me salieron mil ventanas rojas de troyano bloqueado. Necesito trabajar.,seguridad
Intento descargar mi desprendible y dice usuario sin privilegios para sección confidencial.,permisos
Me sale pantallazo azul en Windows cada vez que le conecto la pantalla por HDMI. ¿Me colaboran?,infraestructura
"Estimados, la imagen tiembla y sale humo del borde inferior de la pantalla. Agradezco la gestión.",infraestructura
Urgente: Entro al sistema y me cierra la sesión de inmediato sin dejarme hacer nada. Necesito trabajar.,cuentas_contrasenas
La unidad de almacenamiento externa suena clic-clic y Windows no la monta. Llevo toda la mañana en esto y nada.,infraestructura
"Oigan, El aplicativo de recursos humanos esta calculando mal los dias por el salto de año bisiesto.",software
Urgente: El portal me deniega la contraseña nueva por políticas de seguridad que no entiendo. Necesito trabajar.,cuentas_contrasenas
"Que mas, tengo un chicharron: El SMS de verificacion para entrar no me aterriza en el celular.",cuentas_contrasenas
"qué más, tengo un chicharrón: el revit no encuentra sus librerías locales y aborta la inicialización.",software
"Buen día. el portal cautivo del hotel no me carga, entonces no puedo navegar.",redes
La máquina se calienta muchísimo y se apaga de repente sin avisar. Llevo toda la mañana en esto y nada.,infraestructura
"Oigan, Adobe Acrobat no me deja editar PDFs diciendo que la licencia expiró en este equipo.",software
El sistema contable se cierra abruptamente al momento de darle guardar factura. ¿Me colaboran?,software
"Hola, el lente o sensor de la camara web transmite la imagen completamente distorsionada.",infraestructura
"Tengo un problema, trato de aplicar el parche oficial y la ventana de elevación de privilegios se cierra sola.",software
"Que mas, tengo un chicharron: No puedo prender el computador xq el pulsador de poder esta atascado.",infraestructura
"Al imprimir, el papel sale atascado a la mitad o con el tóner regado. Llevo toda la mañana en esto y nada.",infraestructura
"Buen día. reporto posible robo de información visual, hay alguien anotando lo que veo en mi pc.",seguridad
"Oigan, Un aplicativo viejo de 32 bits dejo de correr desde que me subieron a Windows 11.",software
¿Alguien me explica por qué tengo un bucle de actualizaciones del sistema operativo que no me deja usar el equipo?,software
"oigan, el equipo se apaga de golpe a los 15 minutos de estarlo usando intensamente.",infraestructura
¿Alguien me explica por qué el túnel seguro se desconecta intermitentemente durante todo el día?,redes
Buen día. por favor agéndenme el auditorio principal para una reunión de 3 horas.,otros
Mi silla del escritorio está rechinando muchísimo y tiene una llanta rota.,otros
"Cordial saludo, solicito revisión de lo siguiente: Deseo consultar cuántos días compensatorios tengo acumulados.",otros
¿Alguien me explica por qué olvidé el gafete y el guardia no me deja pasar a las oficinas?,otros
Aún no veo reflejado en mi cuenta el pago de la quincena.,otros
Urgente: Tengo un bucle de actualizaciones del sistema operativo que no me deja usar el equipo. Necesito trabajar.,software
Los archivos de la carpeta compartida se están borrando masivamente frente a mis ojos. ¿Me colaboran?,seguridad
"Cambié de teléfono y perdí el generador de códigos de Microsoft, no puedo loguearme.",cuentas_contrasenas
Buen día. solicito la emisión de mi certificado de trabajo con fecha de ingreso para un banco.,otros
"Auxilio, la red privada me rechaza la entrada, el firewall dice acceso denegado. qué estrés.",cuentas_contrasenas
"Urgente: Se trabó el cajoncito de red, los bombillos quedaron encendidos fijos sin titilar. Necesito trabajar.",redes
"Buen día. sharepoint me dice 'acceso denegado, solicite permisos al propietario'.",permisos
La batería del equipo se infló tanto que no puedo hacer clic en el trackpad. Llevo toda la mañana en esto y nada.,infraestructura
"oigan, descargué una supuesta factura en pdf pero era un programa y lo ejecuté por error.",seguridad
"Me estoy muriendo de calor, el aire de este piso parece que no funciona. Llevo toda la mañana en esto y nada.",otros
"¿Alguien me explica por qué caída masiva de conectividad en la sucursal norte, estamos incomunicados?",redes
Buen día. el agente de seguridad local traba el computador porque consume toda la memoria.,software
Cambiaron la clave del wifi ayer y ahora el PC se queda pegado en verificando para siempre.,redes
Buen día. se me interrumpe la conexión al cliente de cisco cada cierto tiempo sin falta.,redes
"El sistema de requisiciones no me deja aprobar, el botón sale en gris.",permisos
¿Alguien me explica por qué mi disco duro de respaldo hace ruidos extraños y no me lee la información?,infraestructura
"Urgente: Mi hardware de cámara muestra todo en blanco y negro, está dañado. Necesito trabajar.",infraestructura
"Oigan, La app de sincronización en la nube me duplicó todas las carpetas marcando conflicto.",software
Buen día. entra en un bucle infinito en la bios y nunca arranca el disco.,infraestructura
cordial saludo. el aparato de red que está bajo el escritorio hace ruidos y parpadea rojo.,redes
Urgente: Solicito reserva física de espacio de reuniones para comité de gerencia. Necesito trabajar.,otros
Buen día. la red perimetral bloquea mi salida a internet por comportamiento sospechoso.,seguridad
Metí una USB que me encontré y el Windows Defender empezó a bloquear todo. Llevo toda la mañana en esto y nada.,seguridad
"oigan, me quede esperando el mensaje de texto con el codigo de doble factor y nunca llega. ayuda porfa.",cuentas_contrasenas
"Oigan, Se me bloqueó el perfil porque intenté entrar varias veces con las mayúsculas puestas.",cuentas_contrasenas
Tengo una duda con el cálculo de mi prima de servicios en este corte. paila.,otros
"Señores, el cursor del mouse se está moviendo solo en mi pantalla sin que yo toque nada.",seguridad
"Oigan, Conectado a la VPN trato de entrar al servidor de pruebas y la IP me bloquea.",permisos
"El internet carga, pero las llamadas por Teams se escuchan entrecortadas y robóticas.",redes
Adjunto la factura del proveedor de papelería para su respectivo trámite de pago.,otros
"Qué más, tengo un chicharrón: El portal financiero está clonado, la página pide datos que normalmente no pide.",seguridad
urgente: le di clic a un archivo zip de una demanda falsa y el antivirus se volvió loco. agradezco la gestión.,seguridad
el puerto de red en la pared está completamente flojo y no hace contacto. ¿me colaboran?,redes
"El cable de parcheo lo pisaron y se partió, no tengo señal. Llevo toda la mañana en esto y nada.",redes
Les escribo porque el sistema me avisa de un login sospechoso desde un país extraño. Agradezco la gestión.,seguridad
Conecté una memoria externa y el antivirus estalló en notificaciones de amenaza. ¿Me colaboran?,seguridad
"Urgente: Mi módulo de aprobaciones está bloqueado, no puedo autorizar nada. Necesito trabajar.",permisos
Quiero confirmar si el lunes festivo hay operación normal o descansamos. Llevo toda la mañana en esto y nada.,otros
"Oigan, El Chrome se me bloqueó con una pantalla roja y una voz que pide llamar a un número.",seguridad
"hola, el replicador de puertos se dañó, conecto la laptop y no pasa nada. qué estrés.",infraestructura
"Oigan, me acaban de robar el portátil en el bus, necesito que bloqueen los datos remotamente. auxilio.",seguridad
¿Alguien me explica por qué la herramienta contable antigua no es soportada por el sistema operativo reciente?,software
Estoy creando una clave nueva y el sistema la rechaza pero no dice qué símbolos faltan.,cuentas_contrasenas
¿Alguien me explica por qué perdí la vista de las carpetas de mi área actual tras el traslado de puesto?,permisos
"Dice que el usuario no existe, creo que estoy poniendo mi gmail personal por error.",cuentas_contrasenas
"Cordial saludo, solicito revisión de lo siguiente: Queja directa porque el sistema de ventilación nos está enfermando.",otros
Intente entrar desde el hotel en otra ciudad y la cuenta se inhabilito por seguridad. que estres.,cuentas_contrasenas
les escribo xq todos mis correos se están auto-reenviando a un hotmail externo q no conozco. estoy frenado.,seguridad
Qué más. la política de red me bloquea el puerto pa subir archivos al servidor del cliente. xfa.,redes
"Cordial saludo, solicito revisión de lo siguiente: La roseta de mi cubículo está dañada físicamente y no hay ethernet.",redes
pregunta sobre cómo puedo aplicar al convenio con el gimnasio de la ciudad. ¿me colaboran?,otros
"Cordial saludo, solicito revisión de lo siguiente: El ejecutable bota un volcado de memoria antes de mostrarme las opciones de instalación.",software
"Cordial saludo, solicito revisión de lo siguiente: Se trabó el cajoncito de red, los bombillos quedaron encendidos fijos sin titilar.",redes
"Buenas, dice que no pertenezco al grupo autorizado cuando trato de ver mis vacaciones. Saludos.",permisos
"Qué más, tengo un chicharrón: Me autentico correctamente y a los dos segundos la sesión expira sola.",cuentas_contrasenas
Navegando en la intranet interna me sale el error 403 Forbidden en el módulo de salud.,permisos
"Cordial saludo, solicito revisión de lo siguiente: Reclamando que el pago de nómina me llegó incompleto.",otros
"Buen día. el cliente de outlook no puede despachar mensajes, se encolan infinitamente.",software
"¿Alguien me explica por qué recién firmé contrato, intento ver el portal y me rechaza por falta de roles?",permisos
"La red privada me rechaza la entrada, el firewall dice acceso denegado. Llevo toda la mañana en esto y nada.",cuentas_contrasenas
